raw_name,canonical_name,product_id
KLC Опашки скариди,KLC Опашки скариди,161
KLC кашу 150г,KLC кашу 150г,162
KLC кувертюра бял,KLC кувертюра бял,163
KLC протеин. извара,KLC протеин. извара,164
KU.Детски чорапи,KU.Детски чорапи,165
Karmela бискв.100г,Karmela бискв.100г,166
Karmela бисквити200г,Karmela бисквити200г,167
Kinder шок. яйце 20г,Kinder шок. яйце 20г,168
L&B.Хавлиена кърпа,L&B.Хавлиена кърпа,169
Lindt бонбони 100г,Lindt бонбони 100г,170
Milka Кейк&Шок 35г,Milka Кейк&Шок 35г,171
"OY.Дам.ч-щи,40DEN","OY.Дам.ч-щи,40DEN",172
Olympus Цедено10%1кг,Olympus Цедено10%1кг,173
Papia Тоал. Хартия,Papia Тоал. Хартия,174
Pfanner ябълка 2л,Pfanner ябълка 2л,175
Raffaelo бонб.230г,Raffaelo бонб.230г,176
Salza Гризини 235 г,Salza Гризини 235 г,177
"Schweppes 1,25 л","Schweppes 1,25 л",178
Somat гел 810мл,Somat гел 810мл,179
"Somersby 0,33л","Somersby 0,33л",180
TED Възглавница,TED Възглавница,181
Tub-o-flo 60 гр,Tub-o-flo 60 гр.,182
Tub-o-flo 60 гр.,Tub-o-flo 60 гр.,182
Unicart Салфетки,Unicart Салфетки,183
Vitamin Aqua B+,Vitamin Aqua Zn,184
Vitamin Aqua C+,Vitamin Aqua Zn,184
Vitamin Aqua Mg Zero,Vitamin Aqua Zn,184
Vitamin Aqua Zn,Vitamin Aqua Zn,184
Weid.Цедено 10% 1кг,Weid.Цедено 10% 1кг,185
Wet Hankies 15 бр.,Wet Hankies 15 бр.,186
YoPRO пудинг карамел,YoPRO пудинг карамел,187
Zahira Пудра захар,Zahira Пудра захар,188
Zebra К.Р.,Zebra К.Р.,189
Zewa носни кърпи,Zewa носни кърпи,190
Авокадо консумация,Авокадо консумация,191
Активиа Киноа 280г,Активиа Киноа 280г,192
Активиа Пълн.орех280,Активиа Пълн.орех280,193
Ананас бр,Ананас бр,194
БА Топ Сърлоин,БА Топ Сърлоин,195
БРЕЙ! Грах,БРЕЙ! Грах,196
Бейби спанак 125 г,Бейби спанак 125 г,197
Био Ябълки 4 бр.,Био Ябълки 4 бр.,198
Био лук 500 гр бр,Био лук 500 гр бр,199
Био моркови 500г,Био моркови 500г,200
Боровинки 300 г бр,Боровинки 300 г бр,201
Бочко мокри кърпички,Бочко мокри кърпички,202
Бочко препарат500,Бочко препарат500,203
Брей! Картофи,Брей! Картофи,204
Брей! Яйца L6 своб.,Брей! Яйца L6 своб.,205
Яйца L6,Брей! Яйца L6 своб.,205
"Ведраре KМ 4,5% 400г","Ведраре KМ 4,5% 400г",206
Горуб.хляб бял600г,Горуб.хляб бял600г,207
Градински ръкавици,Градински ръкавици,208
Джинд. корени (кг),Джинд. корени (кг),209
Домати (кг),Домати Рома кг,210
Домати Рома 500,Домати Рома кг,210
Домати Рома кг,Домати Рома кг,210
Домати мини рома250,Домати Рома кг,210
Домати мини рома500,Домати Рома кг,210
Домлян Каш.БДС 400г,Домлян Каш.БДС 400г,211
Донът със захар 49г,Донът със захар 49г,212
"Елена КM 3,6% 400 г","Елена КM 3,6% 400 г",213
Елена КС Класик вак.,Елена КС Класик вак.,214
Житен Дар 220г,Житен Дар 220г,215
Заек,Заек,216
Закуска с яйчен 90г,Закуска с яйчен 90г,217
ЗеленЛук вр.(бр),ЗеленЛук вр.(бр),218
Кайма смес СП,Кайма смес СП,219
Калиакра олио,Калиакра олио,220
Картичка Код 205,Картичка Код 205,221
Кн.КРЪГЧО. Голямо,Кн.КРЪГЧО. Голямо,222
Кн.Летни приключения,Кн.Летни приключения,223
Кн.МЗ. Цифрите,Кн.МЗ. Цифрите,224
Кн.Противоположности,Кн.Противоположности,225
Кн.Рожден ден,Кн.Рожден ден,226
Корнишон кг,Корнишон кг,227
Корнишон салатен кг,Корнишон кг,227
Кристал бисквити130г,Кристал бисквити130г,228
Кърпичка за очила,Кърпичка за очила,229
Лайка 20 гр,Лайка 20 гр,230
Лимони кг,Лимони кг,231
Малини 125 гр,Малини 125 гр,232
Мини багета55г,Мини багета55г,233
Мини кроас.масло25г,Мини кроас.масло25г,234
Пащърнак 300г бр,Пащърнак 300г бр,235
Пърленка 50 гр,Пърленка 50 гр,236
Пърленка 50г,Пърленка 50 гр,236
Салата Фризе 170г,Салата Фризе 170г,237
Саяна Био пр. мляко,Саяна Био пр. мляко,238
Саяна КС БДС 400г,Саяна Каш.БДС 400г,239
Саяна Каш.БДС 400г,Саяна Каш.БДС 400г,239
Св.месо за готвене,Св.месо за готвене,240
Тел.месо за готвене,Св.месо за готвене,240
Силует Елда 400г,Силует Елда 400г,241
ТАМА чай лайка26г,ТАМА чай лайка26г,242
Телешко мляно месо,Телешко мляно месо,243
Троя вафла 32/30г,Троя вафла 32/30г,244
Флат айрън стек 300г,Флат айрън стек 300г,245
ХлябГорублянски500,ХлябГорублянски500,246
ХлябПротеинов 400,ХлябПротеинов 400,247
ХлябСем. от тиква350,ХлябСем. от тиква350,248
Хрус солети 60 гр,Хрус солети 60 гр,249
Чери бар Голяма,Чери бар Голяма,250
Черни маслини,Черни маслини,251
K-Bio Чушки червени,Чушки Червени кг,252
Чушки Калиф. червени,Чушки Червени кг,252
Чушки Червени кг,Чушки Червени кг,252
боя за сладкиш,боя за сладкиш,253
#КФМПромоПанагюрска,#КФМПромоПанагюрска,254
7d.Кроасан макс92г,7d.Кроасан макс92г,255
ARGOSS Зехтин 1 л,ARGOSS Зехтин 1 л,256
Actimel напитка г.пл,Actimel напитка г.пл,257
Agiva кърпички,Agiva кърпички,258
Agiva спрей ръце,Agiva спрей ръце,259
"Alpro Not Milk 3,5%","Alpro Not Milk 3,5%",260
Always дам.превръзки,Always дам.превръзки,261
Astera паста 50 мл,Astera паста 50 мл,262
Astera паста за зъби,Astera паста за зъби,263
Ayco сандвич тостер,Ayco сандвич тостер,264
BIO джинджифил,BIO джинджифил,265
"BRIO К-т вилици, 3бр","BRIO К-т вилици, 3бр",266
"BRIO К-т лъжици, 6бр","BRIO К-т лъжици, 6бр",267
Bake Rolls Пица 80г,Bake Rolls Пица 80г,268
Barni мляко 150 гр,Barni мляко 150 гр,269
Bebelan кърпички24бр,Bebelan кърпички24бр,270
Bella Nova Д.превр.,Bella Nova Д.превр.,271
Bella Nova д. Превр.,Bella Nova Д.превр.,271
Belvita 50 гр,Belvita 50 гр,272
BgLine вафла 35г,BgLine вафла 35г,273
"Cappy портокал0,2л","Cappy портокал0,2л",274
"Портокал 0,2","Cappy портокал0,2л",274
Caprice пури 250гр,Caprice пури 250гр,275
Caprice пури 2x250 г,Caprice пури 250гр,275
"Carlsberg 5% 0,33л","Carlsberg 5% 0,33л",276
Coca Cola 1л,Coca Cola 1л,277
"Coca Cola 5+1 2 * 8,45",Coca Cola 1л,277
Coca Cola Zero 2л,Coca Cola Zero 2л,278
Colgate паста 50мл,Colgate паста 50мл,279
Corona Cero,Corona Cero,280
"Corona Cero 2 * 1,99",Corona Cero,280
Costa кафе зър.1кг,Costa кафе зър.1кг,281
Costa мляно 200 г,Costa мляно 200 г,282
Croko крекери 150г,Croko крекери 150г,283
DM Масло НТК 250г,DM Масло НТК 250г,284
DM Масло жълто 250г,DM Масло жълто 250г,285
DM Масло зелено250г,DM Масло зелено250г,286
Devin 11л/изворна,Devin 11л/изворна,287
Devin мин.вода 0.5,Devin мин.вода 0.5,288
Digestiбиск.мл.200г,Digestiбиск.мл.200г,289
Dilios Калъфка,Dilios Калъфка,290
Dolce есенция,Dolce есенция,291
Domestos 750 мл,Domestos 750 мл,292
Dove деоспрей,Dove деоспрей,293
Dr.Bеckmann сапун,Dr.Bеckmann сапун,294
"DrWitt Antiox 0,75л","DrWitt Antiox 0,75л",295
DragonSup кокос шеа,DragonSup кокос шеа,296
Duracell бат.AА4+2бр,Duracell бат.AА4+2бр,297
Elephant Пр.сол 180г,Elephant Пр.сол 180г,298
Emeka т.хартия30бр,Emeka т.хартия30бр,299
Energier CR2032 BP2,Energier CR2032 BP2,300
Event клечки за уши,Event клечки за уши,301
Familia ролка 1бр,Familia ролка 1бр,302
Fanta портокал 2 л,Fanta портокал 2 л,303
Fantasia шок.т.100г,Fantasia шок.т.100г,304
Ferrero Rocher 525г,Ferrero Rocher 525г,305
"Florina вишна 0,25","Florina вишна 0,25",306
"Florina кайс 0,25л","Florina кайс 0,25л",307
Florina плод. кокт,Florina плод. кокт,308
"Florina ябъл 0,25","Florina ябъл 0,25",309
"Fragedo,Пил.подбедр.","Fragedo,Пил.подбедр.",310
Frosch Ж.Лимон 500мл,Frosch Ж.Лимон 500мл,311
Frosch съдове Citrus,Frosch съдове Citrus,312
GTPremiumЛайка30г,GTPremiumЛайка30г,313
Gerber пауч 80 гр,Gerber пауч 80 гр,314
Granbiragi Тв.сир.80,Granbiragi Тв.сир.80,315
Grivas пуканки130г,Grivas пуканки130г,316
Happy Day Праскова,Happy Day Праскова,317
"Heineken 0,33 л","Heineken 0,33 л",318
Hipp сок 200 мл.,Hipp сок 200 мл.,319
"Jameson уиски 0,7л","Jameson уиски 0,7л",320
Jogobella йогурт20бр,Jogobella йогурт20бр,321
K-Bio Домати 500 гр,K-Bio Домати 500 гр,322
K-Bio Масло 200г,K-Bio Масло 200г,323
K-Bio Овесена каша,K-Bio Овесена каша,324
K-Bio Прясно мляко,K-Bio Прясно мляко,325
K-Bio Сладолед,K-Bio Сладолед,326
K-Bio Чесън 100г бр,K-Bio Чесън 100г бр,327
K-Bio Чушки биколор,K-Bio Чушки биколор,328
K-Fav Пармезан 100г,K-Fav Пармезан 100г,329
K-Fav Пармезан 125г,K-Fav Пармезан 125г,330
K-bio зеленчуци,K-bio зеленчуци,331
K.Солен сир150гр,K.Солен сир150гр,332
K.Соленки 150гр,K.Соленки 150гр,333
KI.Дърв. аксесоари,KI.Дърв. аксесоари,334
KI.Мебели,KI.Мебели,335
KI.Настолна игра,KI.Настолна игра,336
KLC 3пл. 10бр,KLC 3пл. 10бр,337
KLC Гауда слайс 300г,KLC Гауда слайс 300г,338
KLC Ементал 150г,KLC Ементал 150г,339
KLC Моцарела мини125,KLC Моцарела мини125,340
KLC Овесена каша 65г,KLC Овесена каша 65г,341
KLC Скир натур 500г,KLC Скир натур 500г,342
KLC Хляб 500г,KLC Хляб 500г,343
KLC Бакпулвер 5х12 г,KLC бакпулвер 5x12 г,344
KLC бакпулвер 5x12 г,KLC бакпулвер 5x12 г,344
KLC изпукани пуканки,KLC изпукани пуканки,345
KLC кърп.за очила 54,KLC кърп.за очила 54,346
KLC снакс сол 125г,KLC снакс сол 125г,347
KLC.Овесен.флейкс.,KLC.Овесен.флейкс.,348
KLC.Резерва за моп,KLC.Резерва за моп,349
KLC.капс.каф.R.20бр,KLC.капс.каф.R.20бр,350
KLC.кръглоз.ориз,KLC.кръглоз.ориз,351
KLC.осолена.шунка,KLC.осолена.шунка,352
Kikkoman Соев сос,Kikkoman Соев сос,353
Kinder Surprise20г,Kinder Surprise20г,354
Kinder зайче 55г,Kinder зайче 55г,355
Kinder шок.фигурка,Kinder шок.фигурка,356
Kl.Дървена играчка,Kl.Дървена играчка,357
Kартонени чaши 10бр.,Kартонени чaши 10бр.,358
L&B WC Четка,L&B WC Четка,359
L&B.стикер,L&B.стикер,360
L'OR Ристрето 10 бр,L'OR Ристрето 10 бр,361
Lavazza мл.к.4х250г,Lavazza мл.к.4х250г,362
Lesieur майонеза350г,Lesieur майонеза350г,363
