product_id,canonical_name,display_name,brand,category,in_basket
200,Био моркови 500г,,,Плодове и зеленчуци,
201,Боровинки 300 г бр,,,Плодове и зеленчуци,1
202,Бочко мокри кърпички,,Бочко,Хигиена и козметика,
203,Бочко препарат500,,Бочко,Дом и бит,
204,Брей! Картофи,,Брей,Плодове и зеленчуци,
205,Брей! Яйца L6 своб.,,Брей,Яйца,
206,"Ведраре KМ 4,5% 400г","Ведраре кисело мляко 4,5% 400г",Ведраре,,1
207,Горуб.хляб бял600г,,Горуб,Хляб и тестени,
208,Градински ръкавици,,Градински,,
209,Джинд. корени (кг),,Джинд,Плодове и зеленчуци,
210,Домати Рома кг,,,Плодове и зеленчуци,
211,Домлян Каш.БДС 400г,,Домлян,Сирене и кашкавал,
212,Донът със захар 49г,,,Хляб и тестени,
213,"Елена КM 3,6% 400 г","Елена кисело мляко 3,6% 400 г",Елена,,1
214,Елена КС Класик вак.,,Елена,,
215,Житен Дар 220г,,Житен дар,,
216,Заек,,,Месо и колбаси,
217,Закуска с яйчен 90г,,Закуска,Хляб и тестени,
218,ЗеленЛук вр.(бр),,ЗеленЛук,Плодове и зеленчуци,
219,Кайма смес СП,,,Месо и колбаси,
220,Калиакра олио,,Калиакра,Основни храни,
221,Картичка Код 205,,Картичка,Дом и бит,
222,Кн.КРЪГЧО. Голямо,,,Дом и бит,
223,Кн.Летни приключения,,,Дом и бит,
224,Кн.МЗ. Цифрите,,,Дом и бит,
225,Кн.Противоположности,,,Дом и бит,
226,Кн.Рожден ден,,,Дом и бит,
227,Корнишон кг,,Корнишон,,
228,Кристал бисквити130г,,Кристал,Захарни и снакс,
229,Кърпичка за очила,,Кърпичка,Хигиена и козметика,
230,Лайка 20 гр,,Лайка,Кафе и чай,
231,Лимони кг,,,Плодове и зеленчуци,
232,Малини 125 гр,,,Плодове и зеленчуци,
233,Мини багета55г,,Мини,Хляб и тестени,
234,Мини кроас.масло25г,,Мини,Мляко и млечни,
235,Пащърнак 300г бр,,Пащърнак,Плодове и зеленчуци,
236,Пърленка 50 гр,,Пърленка,Хляб и тестени,
237,Салата Фризе 170г,,Салата,Плодове и зеленчуци,
238,Саяна Био пр. мляко,,Саяна,Мляко и млечни,
239,Саяна Каш.БДС 400г,,Саяна,Сирене и кашкавал,
240,Св.месо за готвене,,Св,Месо и колбаси,
241,Силует Елда 400г,,Силует,,
242,ТАМА чай лайка26г,,ТАМА,Кафе и чай,
243,Телешко мляно месо,,,Месо и колбаси,
244,Троя вафла 32/30г,,Троя,Захарни и снакс,
245,Флат айрън стек 300г,,Флат,Месо и колбаси,
246,ХлябГорублянски500,,ХлябГорублянски500,Хляб и тестени,
247,ХлябПротеинов 400,,ХлябПротеинов,Хляб и тестени,
248,ХлябСем. от тиква350,,ХлябСем,Хляб и тестени,
249,Хрус солети 60 гр,,Хрус,Захарни и снакс,
250,Чери бар Голяма,,Чери,Плодове и зеленчуци,
251,Черни маслини,,Черни,Плодове и зеленчуци,
252,Чушки Червени кг,,,Плодове и зеленчуци,
253,боя за сладкиш,,,Плодове и зеленчуци,
254,#КФМПромоПанагюрска,,,,
255,7d.Кроасан макс92г,,,Хляб и тестени,
256,ARGOSS Зехтин 1 л,,ARGOSS,,
257,Actimel напитка г.пл,,Actimel,Хляб и тестени,
258,Agiva кърпички,,Agiva,Хигиена и козметика,
259,Agiva спрей ръце,,Agiva,Хигиена и козметика,
260,"Alpro Not Milk 3,5%",,Alpro,,
261,Always дам.превръзки,,Always,,
262,Astera паста 50 мл,,Astera,Основни храни,
263,Astera паста за зъби,,Astera,Основни храни,
264,Ayco сандвич тостер,,Ayco,,
265,BIO джинджифил,,BIO,,
266,"BRIO К-т вилици, 3бр",,BRIO,,
267,"BRIO К-т лъжици, 6бр",,BRIO,,
268,Bake Rolls Пица 80г,,Bake,,
269,Barni мляко 150 гр,,Barni,Мляко и млечни,
270,Bebelan кърпички24бр,,Bebelan,Хигиена и козметика,
271,Bella Nova Д.превр.,,Bella,,
272,Belvita 50 гр,,Belvita,,
273,BgLine вафла 35г,,BgLine,Захарни и снакс,
274,"Cappy портокал0,2л",,Cappy,Плодове и зеленчуци,
275,Caprice пури 250гр,,Caprice,Кафе и чай,
276,"Carlsberg 5% 0,33л",,Carlsberg,,
277,Coca Cola 1л,,Coca cola,Напитки,
278,Coca Cola Zero 2л,,Coca cola,Напитки,
279,Colgate паста 50мл,,Colgate,Основни храни,
280,Corona Cero,,Corona,,
281,Costa кафе зър.1кг,,Costa,Кафе и чай,
282,Costa мляно 200 г,,Costa,Месо и колбаси,
283,Croko крекери 150г,,CR,Захарни и снакс,
284,DM Масло НТК 250г,,DM,Мляко и млечни,
285,DM Масло жълто 250г,,DM,Мляко и млечни,
286,DM Масло зелено250г,,DM,Мляко и млечни,
287,Devin 11л/изворна,,Devin,Вода,
288,Devin мин.вода 0.5,,Devin,Вода,
289,Digestiбиск.мл.200г,,Digestiбиск,,
290,Dilios Калъфка,,Dilios,,
291,Dolce есенция,,Dolce,,
292,Domestos 750 мл,,Domestos,,
293,Dove деоспрей,,Dove,Хигиена и козметика,
294,Dr.Bеckmann сапун,,Dr,Хигиена и козметика,
295,"DrWitt Antiox 0,75л",,DrWitt,,
296,DragonSup кокос шеа,,Коко,,
297,Duracell бат.AА4+2бр,,Duracell,,
298,Elephant Пр.сол 180г,,Elephant,Основни храни,
299,Emeka т.хартия30бр,,Emeka,Дом и бит,
300,Energier CR2032 BP2,,CR,,
301,Event клечки за уши,,Event,Хигиена и козметика,
302,Familia ролка 1бр,,Familia,Дом и бит,
303,Fanta портокал 2 л,,Fanta,Плодове и зеленчуци,
304,Fantasia шок.т.100г,,Fantasia,Напитки,
305,Ferrero Rocher 525г,,Ferrero,Захарни и снакс,
306,"Florina вишна 0,25",,Florina,,
307,"Florina кайс 0,25л",,Florina,,
308,Florina плод. кокт,,Florina,,
309,"Florina ябъл 0,25",,Florina,,
310,"Fragedo,Пил.подбедр.",,Fragedo,,
311,Frosch Ж.Лимон 500мл,,Frosch,Плодове и зеленчуци,
312,Frosch съдове Citrus,,Frosch,,
313,GTPremiumЛайка30г,,GTPremiumЛайка30г,Кафе и чай,
314,Gerber пауч 80 гр,,Gerber,,
315,Granbiragi Тв.сир.80,,Granbiragi,,
316,Grivas пуканки130г,,Grivas,Захарни и снакс,
317,Happy Day Праскова,,Happy,Плодове и зеленчуци,
318,"Heineken 0,33 л",,Heineken,,
319,Hipp сок 200 мл.,,Hipp,Напитки,
320,"Jameson уиски 0,7л",,Jameson,,
321,Jogobella йогурт20бр,,Jogobella,Мляко и млечни,
322,K-Bio Домати 500 гр,,K-bio,Плодове и зеленчуци,
323,K-Bio Масло 200г,,K-bio,Мляко и млечни,
